response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0720
0.0055,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0720
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0720
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0721
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0719
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0720
0.0055,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0721
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0720
0.0056,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0720
0.0056,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0720
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0721
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0720
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0721
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0719
0.0065,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0719
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0721
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0720
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0719
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0720
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0718
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0718
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0719
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0720
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0717
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0803
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0814
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0805
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0805
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0805
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0805
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0814
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0815
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0805
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0814
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0805
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0805
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0814
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0814
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0805
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0805
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0805
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0812
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0814
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0804
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0804
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0804
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0804
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0805
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0814
